活动规则|Promotion Rules
可切换登录账号|Switchable login account
用户名|username
手机|Mobile phone
邮箱|email
切换并登录|Switch and log
解除关联|unlink
解除关联后将无法使用微信快捷登录商城|After unlink, you will not be able to use WeChat quickly log in to the mall
网站及|Website and
但仍可以使用系统默认分配账号登录|But you can still log in using the system's default account
当前登录账号为关联账号|The current login account is an linked account
则无法解除关联|cannot unlink
如您需要解除关联|If you need to unlink
请将当前登录账号切换为主账号即可|Please switch the current account to the main account
快捷导航|Quick Navigation
个人资料|personal information
提交验证|Submit verification
刷新图片验证码|Refresh image verification code
解除关联|unlink
询问框|Query box
您确定要解除关联账号吗|Are you sure you want to unlink the account?
确定|confirm
取消|cancel
切换并登录|Switch and log
当前登录账号|The current login account
用户名|username
手机|Mobile phone
去关联账号|To associate account
已关联账号|Linked Account
账号关联可快捷登录商城|Account association can quickly log in to the mall
网站和|Website and
账号|account number
并可享受网站会员特权等|A member and enjoy privileges, etc.
商城承诺保障您的账号隐私安全|Mall commitment to protect your account privacy
解除关联后|After unlink
将无法使用微信快捷登录商城|Wechat will not be available for fast login
网站及|Website and
但仍可以使用系统默认分配账号登录|But you can still log in using the system's default account
可切换账号|To switch accounts
用户名|username
手机|Mobile phone
邮箱|email
解除账号关联|unlink account association
切换并登录|Switch and log
快捷导航|Quick Navigation
账户安全|account security
提交验证|Submit verification
解除关联|unlink
询问框|Query box
您确定要解除关联账号吗|Are you sure you want to unlink the account?
确定|confirm
取消|cancel
切换登录|Login switch
建议您启动全部安全设置|We recommend that you start all security settings
以保障账户及资金安全|To protect the accounts and financial security
修改登录密码|Change My Password
互联网账号存在被盗风险|Internet account is at risk of being stolen
建议您定期更改密码|We recommend that you change your password regularly
立即手机验证|phone verification now
已验证手机|Verified phone
验证后|After verification
可用于快速找回登录密码|It can be used to quickly retrieve password
接收消息提醒|Receiving message alerts
立即邮箱验证|E-mail verified immediately
已验证邮箱|Verified email
验证后|After verification
可用于快速找回登录密码等|It can be used to quickly retrieve login password, etc.
启用支付密码|Enabling payment password
已启用支付密码|Enabled payment password
启用后|When enabled
购物需验证支付密码|verify payment password is required to shop
增加安全性|Increase security
授权管理|Authorization Management
第三方登录授权信息|Sign in with authorization information
快捷导航|Quick Navigation
个人资料|personal information
用户名|username
昵称|nickname
性别|gender
出生日期|date of birth
收货地址|Shipping address
实名认证|Verified
已认证|verified
未认证|not certified
账户安全|account security
仅微信显示|Only Wechat display
关联账号|Associate account
使用帮助|Using help
退出|drop out
修改昵称|change username
昵称|nickname
昵称|nickname
确定|confirm
修改性别|change gender
确定|confirm
修改出生日期|change date of birth
出生日期|date of birth
确定|confirm
性别展开修改弹窗|Expand gender edit popup
关闭|close
点击修改颜色|Click Edit Color
提交修改|Commit changes
昵称展开修改弹窗|Expand nickname edit popup
关闭|close
并提交修改|And commit the changes
出生日期展开修改弹窗|expand Date of Birth edit popup
关闭|close
并提交修改|And commit the changes
修改头像|Modify avatar
上传的图片不能超过|Upload a picture can not exceed
真实姓名|real name
真实姓名|real name
身份证号|identity number
身份证号|identity number
身份证正面|ID card front
修改图片|Edit Picture
上传图片|upload image
身份证反面|ID card back
修改图片|Edit Picture
上传图片|upload image
银行|bank
工商银行上海|ICBC Shanghai
路支行|Road Branch
银行卡号|Bank card number
银行卡号|Bank card number
手机号码|mobile number
手机号码|mobile number
短信验证码|SMS verification code
短信验证码|SMS verification code
获取验证码|get verification code
同意实名认证协议并确定|Consent agreement and to determine the real-name authentication
提交|submit
快捷导航|Quick Navigation
认证详情|Certification details
提交表单|submit Form
验证数据|verify the data
请输入完整的|Enter the full
异步提交|Asynchronous submitted
获取验证码|get verification code
请填写手机号码|please fill in mobile number
获取手机验证码|Get phone code
没有倒计时|No countdown
下面用于图片上传预览功能|The following is used for image upload preview function
图片异常的捕捉|Abnormal picture capture
防止用户修改后缀来伪造图片|Prevent users from modifying the suffix to fake pictures
您上传的图片格式不正确|Your uploaded image format is not correct
请重新选择|Please choose
真实姓名|real name
身份证号|identity number
身份证正面|ID card front
身份证反面|ID card back
银行|bank
银行卡号|Bank card number
认证时间|Certification time
审核状态|Approval Status
审核通过|approved
审核未通过|Not approved by
未审核|Not reviewed
审核未通过描述|reason to not approve
绑定手机|linked phone
认证渠道|Certified Channel
实名认证|Verified
修改认证信息|Modify authentication information
快捷导航|Quick Navigation
个人资料|personal information
请输入邮箱|please input your email
请输入邮箱验证码|Please enter the email verification code
获取邮箱验证码|Get email address Verification Code
已认证手机号|Certified phone number
请输入短信验证码|Please enter the verification code SMS
获取短信验证码|obtain SMS verification code
已认证手机|Certified mobile phone
使用手机发送验证码|Use the phone to send a verification code
使用邮箱发送验证码|Send codes email
确定修改|Identify changes
快捷导航|Quick Navigation
账户安全|account security
验证码倒计时|Code Countdown
发送验证码|Send the verification code
重新获取|Reacquire
发送手机验证码|Send phone code
发送频繁|Send frequent
请先填写认证手机号|Please fill in the Verified Phone Number
请输入有效的手机号|please input valid mobile phone number
提交验证|Submit verification
请先填写认证手机号|Please fill in the Verified Phone Number
请输入短信验证码|Please enter the verification code SMS
发送邮箱验证码|Send E-mail verification code
发送频繁|Send frequent
请输入邮箱|please input your email
请输入有效的邮箱|Please enter a valid email
验证码倒计时|Code Countdown
发送验证码|Send the verification code
重新获取|Reacquire
提交验证|Submit verification
请输入用户邮箱|Please enter your email
请输入有效的邮箱|Please enter a valid email
请输入邮箱验证码|Please enter the email verification code
请输入图片验证码|Please enter the image verification code
请输入图片验证码|Please enter the image verification code
请输入验证的手机号|Please enter the phone number
请输入验证码|please enter verification code
获取短信验证码|obtain SMS verification code
确定|confirm
请输入验证的手机号|Please enter the phone number
确定|confirm
快捷导航|Quick Navigation
账户安全|account security
验证码倒计时|Code Countdown
发送验证码|Send the verification code
重新获取|Reacquire
发送验证码|Send the verification code
请输入图片验证码|Please enter the image verification code
请输入验证的手机号|Please enter the phone number
请输入有效的手机号|please input valid mobile phone number
发送频繁|Send frequent
提交验证|Submit verification
请输入验证的手机号|Please enter the phone number
请输入有效的手机号|please input valid mobile phone number
请输入验证码|please enter verification code
请输入有效的手机号码|Please input valid telephone number
已认证邮箱|Verified email
请输入邮箱验证码|Please enter the email verification code
获取邮箱验证码|Get email address verification code
请输入图片验证码|Please enter the image verification code
请输入图片验证码|Please enter the image verification code
已认证手机|Certified mobile phone
请输入验证码|please enter verification code
获取短信验证码|obtain SMS verification code
输入原支付密码|Enter the original payment password
请输入原支付密码|Please enter the original payment password
请输入|please enter
位支付密码|digits payment password
使用余额|Balance
已认证手机|Certified mobile phone
使用手机发送验证码|Use the phone to send a verification code
已认证邮箱|verified email
使用邮箱发送验证码|Send codes email
确定|confirm
快捷导航|Quick Navigation
账户安全|account security
验证码倒计时|Code Countdown
发送验证码|Send the verification code
重新获取|Reacquire
发送验证码|Send the verification code
请输入图片验证码|Please enter the image verification code
请输入手机号|Please enter phone number
请输入有效的手机号|please input valid mobile phone number
发送频繁|Send frequent
提交验证|Submit verification
请输入手机号|Please enter phone number
请输入有效的手机号|please input valid mobile phone number
请输入验证码|please enter verification code
请输入支付密码|Please enter payment password
请输入|please enter
位支付密码|digits payment password
发送邮箱验证码|Send E-mail verification code
发送频繁|Send frequent
请先验证填写邮箱|Please fill in the verification email
验证码倒计时|Code Countdown
发送验证码|Send the verification code
重新获取|Reacquire
提交验证|Submit verification
请先验证填写邮箱|Please fill in the verification email
请输入邮箱验证码|Please enter the email verification code
请输入支付密码|Please enter payment password
请输入|please enter
位支付密码|digits payment password
商品|products
商品|products
换货属性|Replacement attribute
判断属性是复选还是单选|Determine property is a single or multiple choices
退货原因|reasons for returns
商品数量|product quantity 
数量不能为空|quantity can not be empty
数量为数字|quantity must be a number
图片放大|enlarge image
个人信息|Personal information
个人信息|Personal information
请输入收货人姓名|Enter the name of the consignee
手机号码格式不正确|The phone number is not formatted correctly
请填写手机号码|please fill in mobile number
请输入邮箱|please input your email
地区选择|Select area
地区选择|Select area
快捷导航|Quick Navigation
售后列表|Sale list
引用|Quote
退货属性|Returns property
表单验证|form validation
请选择退换货原因|Please select the reasons for return
显示删除图片|Delete pictures
申请凭据|Application credentials
换货数量|quantity of replacement
不能小于最小数量|Not less than the minimum number of
不能超过最大数量|Not exceed the maximum number of
不能小于最小数量|Not less than the minimum number of
不能超过最大数量|Not exceed the maximum number of
退换货类型切换|Return type switch
服务类型|Service type
为退款时|When refunds
默认隐藏商品数量选择|Select the number of goods are hidden by default
退款原因|reasons for returns
退款|Refund
隐藏换货商品属性|Hide your replacement attribute
维修原因|reason for repair
维修|service
换货原因|Replacement reason
换货|Replacement
请求换货商品属性|Request a replacement product attributes
定义模板标签|Custom template tags
退货原因|reasons for return
退货|Returns
退款原因|reasons for return
退款|Refund
商品属性选择|Product attribute selection
退换货原因选择|Select the reasons for return
的值|The value
维修|service
退货|Returns
换货|Replacement
仅退款|Only refund
拒绝原因|Denial Reason
商品退款|Product Refund
凭证图片|Pictures voucher
悬浮|float
确认收货|Items received confirmation
已完成|completed
已拒绝|rejected
待同意|awaiting approval
悬浮|float
快捷导航|Quick Navigation
售后列表|Sale list
店铺信息商品滚动|store info product ticker
确认订单|Confirm Order
你确认已经收到货物了吗|Are you sure you have received the goods?
确定|confirm
取消|cancel
选择其他快递方式|Choose other courier
的值|The value
用户选择快递信息寄回|Users choose express information return
请选择快递公司|Please select Express
请填写其他快递公司名称|Please fill in the name of other courier companies
请填写快递单号|Please fill in the express orders
售后申请订单|Orders application for sale
属性|Attributes
此处没有内容|There is no content here
售后申请订单|Orders application for sale
快捷导航|Quick Navigation
正在加载|loading
售后申请订单列表|Sale and application order list
加载更多|load more
正在加载|loading
没有更多了|No more
退换货申请进度|Return application status
此处没有内容|There is no content here
退换货申请进度|Return application status
快捷导航|Quick Navigation
正在加载|loading
退换货进度查询列表|Returns status inquiry list
加载更多|load more
正在加载|loading
没有更多了|No more
激活退换货订单|Returns activation order
你确认要激活吗|Are you sure you want to activate it
激活后可以再次申请退换货操作|After activation, you can apply for the return again
确定|confirm
取消|cancel
请求|request
删除已完成退换货订单|Delete completed return orders
你确认要删除该退换货订单吗|Are you sure you want to delete the return order
确定|confirm
取消|cancel
请求|request
取消退换货申请|Cancel Return application
您确定要取消退换货申请吗|Are you sure you want to cancel the return application
确定|confirm
取消|cancel
请求|request
跳转提示|redirect warning
微软雅黑|Microsoft elegant black
页面自动|Automatic page
跳转|redirect
等待时间|waiting time
批发价|Wholesale price
总价|Total price
请输入您的联系方式|Please enter your contact information
付款方式和配送方式等信息|Payment and Delivery information
买家留言|Buyers message
您还没有批发商品|You don't have wholesale product yet
返回批发中心|back to wholesale center
悬浮|float
实付款|real payment
继续采购|Continue to purchase
订购|order
快捷导航|Quick Navigation
没有商品|No products
请填写批发信息|Please fill in the information wholesale
属性|Attributes
数量|quantity 
价格|price
购买|buy
详情|Detail
查看商品详情|View Product Details
悬浮|float
客服|Customer Service
采购清单|Purchasing List
立即采购|Purchase immediately
悬浮|float
快捷导航|Quick Navigation
悬浮菜单|Float Menu
引用|Quote
商品详情相册切换|change Product Details album
换货数量|quantity of replacement
不能小于最小数量|Not less than the minimum number of
不能超过最大数量|Not exceed the maximum number of
不能小于最小数量|Not less than the minimum number of
不能超过最大数量|Not exceed the maximum number of
请输入关键字|Please enter key words
销量|Sold
价格|price
选择分类|Choose category
批发价|Wholesale price
市场价|Price
去批发|To wholesale
去登录|To log
去逛逛|Go shopping
右侧浮动导航|The right side of the floating navigation
分类|classification
关闭|close
搜索|search
请输入搜索关键字|please enter keyword to search
分类|classification
排序|Sorting
